file,open_time,close_time,side,pnl,strategy,magic,aligned_hits,aligned_same_dir
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 19:45:00+00:00,2009-10-09 20:39:00+00:00,buy,45.992534083602045,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-09 19:47:00+00:00,2009-10-09 20:46:00+00:00,buy,20.20227471852352,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 20:52:00+00:00,2009-10-09 22:19:00+00:00,buy,39.143289166895485,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-09 21:30:00+00:00,2009-10-09 22:18:00+00:00,buy,35.3883230495088,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-09 21:31:00+00:00,2009-10-09 22:19:00+00:00,buy,26.756557450386172,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-09 22:44:00+00:00,2009-10-12 01:00:00+00:00,buy,76.51611542040912,RSI_X,3301,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-12 01:43:00+00:00,2009-10-12 03:30:00+00:00,sell,130.4256177121743,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-12 02:07:00+00:00,2009-10-12 03:30:00+00:00,sell,94.01191115483434,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-12 02:09:00+00:00,2009-10-12 03:30:00+00:00,sell,100.96354771068404,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-12 04:22:00+00:00,2009-10-12 05:26:00+00:00,buy,43.63628980673071,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-12 08:27:00+00:00,2009-10-12 09:56:00+00:00,sell,79.47960822177211,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-12 08:49:00+00:00,2009-10-12 09:54:00+00:00,sell,45.26826808084461,SMA_CROSS,2001,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-12 11:01:00+00:00,2009-10-12 12:24:00+00:00,buy,188.4482479394175,EMA_X,3201,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-12 11:02:00+00:00,2009-10-12 12:13:00+00:00,buy,126.49850113236658,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-12 17:49:00+00:00,2009-10-12 18:57:00+00:00,sell,42.30566993116851,RSI_X,3301,0,0
